title,requirement,description,repeat
Critical Banker,Luck 7,"Whenever you roll a critical hit, you can choose to deal no extra damage. If you do, you gain a temporary karma cap that you lose when flipped. If you use this temporary karma cap on an attack roll, the attack is automatically a critical hit. You can only have a maximum of one temporary karma cap.",You can take this perk once
Been There Done That.,Luck 9,"Whenever you or an ally within 100 feet of you makes a Luck ability check, it is increased by 3. Additionally, whenever you gain XP you gain a bonus equal to a 5d10 + every player character Luck scored added together, then halved.",You can take this perk once
Fortune Favors the Bold,Luck 9,"Whenever you or any other player characters flip your Karma Cap to gain advantage or a reroll on an ability check, skill check, or attack roll, physically flick and flip your Karma Cap. If it lands facing up then it stays facing up. If any other player character takes this perk, and if your Karma Cap lands face down; you can physically flip a number of times equal to the amount of player characters who have taken this perk past the first.",You can take this perk once
Careful Aim,Perception 4,"You take your time to attack, allowing you to be more accurate. Whenever you spend action points to make an attack roll with a ranged weapon, you can spend 1 additional action point to add 1 to the result of the roll. You can spend up to 3 additional action points to add an additional 1 to the attack per action point used.",You can take this perk once
Infiltrator,Perception 5,"You can get in and out of places with ease. You can spend 3 action points and examine a lock or computer within 5 feet of you to learn the Breach DC. Additionally, whenever you fail a Breach check, you can flip one of your Karma Caps to automatically succeed instead.",You can take this perk once
Alertness,Perception 5,"You've learned to keep your senses alert to any danger. If you do not move from a singular location no larger than a 20 foot radius for at least 10 minutes; you gain a bonus to your passive sense equal to your Perception ability score. (Simply put, your passive sense is equal to 12 + double your Perception ability modifier)",You can take this perk once
Careful Detonations,Perception 6,"Whenever you throw an explosive that isn't placed, you can choose a 5 foot radius area. Any creatures or objects in that 5 foot area take no damage and do not suffer any effects from the explosive. Alternatively, whenever you throw or detonate an explosive; you can choose for the area of effect radius to be up to 5 feet smaller.",You can take this perk once
Meltdown,Perception 8,"Whenever you deal enough damage to bring another creature to 0 hit points from an attack roll made with a weapon that deals laser, plasma, or electricity damage; you can choose for that creature to explode with a corona of energy. Each creature within 10 feet of that creature takes damage equal to the amount you dealt.",You can take this perk once
Hit the Deck,Perception 8,"You react very quickly to the word incoming"". Whenever you take damage to your stamina points from an explosive  the damage is halved.""",You can take this perk once
Sniper,Perception 9,"Whenever you spend action points to make an attack roll with a two-handed ranged weapon, you can spend 1 additional action point to add 2 to the result of the roll. You can spend up to 3 additional action points to add an additional 2 to the attack per action point used. Additionally, if you make a targeted attack roll to the head with a rifle that has the Scope mod, you critically hit on the attack roll, and you deal damage to the target's hit points; the target dies so long as it can't live without its head, or isn't wearing a power armor helmet.",You can take this perk once
Volatile Hucker,Perception 9,"Whenever you spend action points to throw an explosive, you spend 1 less action point to a minimum of 3. Additionally, if you roll a 20 on your Explosives skill check, the explosive explodes at the end of your turn and deals extra damage equal to double the damage dice.",You can take this perk once
Blind Devil,Permanently Blinded,"Attuning to your loss of sight has made your other senses sharper. You can sense your surroundings with pinpoint accuracy. You can effectively “see” any target within a number of feet of you equal to 5 x your Perception ability score. Additionally, your passive sense increases by 5 and you have advantage on all your combat sequence rolls.",You can take this perk once
Pain Train,Robot,Choo Choo! All aboard! You can charge into enemies and knock them off their feet. If you sprint through another creature's space that has a Strength score equal to or less than yours; they are knocked prone.,You can take this perk once
Hardware Upgrade,Robot,"You can choose any two weapons to become one of your Robot weapons, so long as you have the caps to purchase them, the materials to craft them, or own the weapons.",You can take this perk once
Partition Reset,"Robot or Synth, Level 10","Reduce any of your ability scores by 1, 2, or 3. You can increase any other ability score by the amount you decreased plus 1.",You can take this perk once
Factory Reset,"Robot or Synth, Level 10","When you take this perk, your character becomes 1st level and gains all the XP you previously had. You can rebuild your character and choose new traits, skills bonuses, ability scores, and perks. However, your memory is wiped and you remember nothing up to taking this perk.",You can take this perk once
Determination is not a Malfunction,"Robot or Synth, Level 10","You are immune to the frightened condition. Additionally, when you have unused action points at the end of your turn, you recycle all of them on your next turn.",You can take this perk once
Computer Cousin,"Robot or Synth, Level 5","Robots will not target you with attacks unless you are the only hostile target within 60 feet. Additionally, you have advantage on Breach skill checks with any computer.",You can take this perk once
Slayer,Strength 10,"The slayer walks the earth. Whenever you spend action points to attack with an unarmed or melee weapon attack, you gain 1 action point. Additionally, your critical hit chance with all unarmed and melee weapons decreases by 1.",You can take this perk once
Living Weapons,Strength 10,"You can use other creatures as improved weapons. If they are unwilling, you must succeed a grapple check to use them as an improvised weapon. Using a creature as an improved weapon costs 6 AP, uses your Melee Weapons skill to hit, critically hits on 20 (x2), and deals a number of d6's of impact damage depending on their size. Small creatures deal 3d6 impact damage, medium creatures deal 4d6 impact damage, and large creatures deal 5d6 impact damage (you cannot use a creature huge or greater as an improvised weapon). You can also throw them a number of feet equal to 2 x your Strength score. If you throw a creature into another creature and deal impact damage to their hit points, they both fall prone. Whenever a creature is used as an improved weapon, they take half of the impact damage dealt to their hit points.",You can take this perk once
Weapon Handling,Strength 4,"It's not about size, it's about how you use it. You no longer have disadvantage on attack rolls made with weapons that you do not meet the Strength requirement for. Additionally, you ignore the negative effects of the first two levels of decay with all weapons.",You can take this perk once
Heavyweight,Strength 4,"You can spend 6 action points to make a special unarmed attack called a heavy unarmed attack. A heavy unarmed attack is identical to an unarmed attack but the damage is increased by 2d4. Additionally, you are immune to the encumbered condition. However, you can still gain the heavily encumbered condition.",You can take this perk once
Fisticuffs,Strength 5,"Give 'em the one-two! Whenever you roll damage from an attack roll made with an unarmed attack and the damage is dealt to a target's stamina points, add 3 to the result. Additionally, if you make a targeted attack with an unarmed attack to a creature's head and deal more than their level in points of damage to the creature's hit points, they become dazed for a number of rounds equal to their 8 - their Endurance ability score (minimum of 1).",You can take this perk once
Heave Ho!,Strength 5,What a pitch! Whenever you throw an object or creature; the distance you can throw is doubled,You can take this perk once
Assert Power,Strength 5,You can spend 4 action points on your turn to frighten a target creature that is within 30 feet of you. (See page # for the frightened condition). You cannot frighten a creature you have already frightened.,You can take this perk once
Hauler,Strength 5,"Your maximum carry load increases by 50. Additionally, when you carry heavy objects you do not become slowed.",You can take this perk once
Butcher,Strength 5,"You're hackin', whackin', and choppin' that meat! Whenever you roll damage from an attack roll made with a melee weapon, add 2 to the result. Additionally, if you make a targeted attack with a bladed melee weapon to a creature's arms or legs and deal more than double their level in points of damage to the creature's hit points, you sever the limb!",You can take this perk once
Super Slam!,Strength 6,"If you spend your action points to move at least 15 feet in a straight line, your next unarmed or melee weapon attack has advantage. If this attack hits and deals damage to the creature's hit points, you may choose for the target to either fall prone or be knocked back a number of feet equal to 5 x your Strength ability modifier.",You can take this perk once
Stonewall,Strength 6,"Your damage threshold increases by 2, and whenever you roll a Strength or Ability check to resist being grappled, restrained, or knocked prone; you have advantage or you may flip one of your Karma Caps to automatically succeed.",You can take this perk once
Leaping Powerhouse,Strength 6,"You've got the strongest knees in the wasteland! Whenever you long jump you can clear an additional 10 feet and whenever you high jump you can clear an additional 3 feet. Additionally, whenever you take impact damage from a fall, you take half as much.",You can take this perk once
K.O.,Strength 7,"Whenever you deal damage to a target creature's hit points for the first time from an attack roll with an unarmed or melee weapon attack, they become dazed for 2 rounds.",You can take this perk once
Piercing Strikes,Strength 7,"You know how to make devastating attacks through blocks. Whenever you deal damage from an unarmed or melee weapon attack, the target's DT is subtracted by a number equal to your Strength ability modifier to a minimum of 0.",You can take this perk once
Paralyzing Punch,Strength 8,"If you hit a single target creature with at least three melee attacks on a turn, they gain 2 levels of fatigue. If a creature reaches 4 levels of fatigue in this way; they become paralyzed until the end of their next turn. Once a creature has become paralyzed in this way, they cannot become paralyzed again until you roll combat sequence.",You can take this perk once
Rooted,Strength 8,"You're part tree! You can spend 4 action points on your turn to become Rooted. While Rooted, your DT increases by 5 and any damage you deal from an attack made with an unarmed or melee weapon is increased by 2. However, moving 5 feet costs 2 action points. You can spend 3 action points to remove the Rooted condition.",You can take this perk once
Never Unarmed,Strength 9,"Anything can be a weapon if you're holding it right. Whenever you make an attack roll with an improvised weapon, the damage is increased by 1 die rank and the critical hit chance is decreased by 1.",You can take this perk once
Unstoppable Force,Strength 9,"Your martial might is truly legendary. Whenever you roll damage from an unarmed or melee weapon attack roll against the hit points of a creature, their DT is not subtracted from your damage total",You can take this perk once
Reinforced Recovery,Super Mutant,"On your turn you can spend 6 AP to heal a number of hit points equal to your healing rate. Once you use this action, you cannot use it again until you sleep.",You can take this perk once
Wasteland Camel,Super Mutant,"You no longer require double the amount of water each day to avoid dehydration. Additionally, dirty water has the “hydrating” property for you.",You can take this perk once
Fine-Toothed Giant,Super Mutant,"You no longer suffer the effects of the “Bulky” racial trait. Additionally, whenever you make a crafting check to repair an item, the DC is reduced by 5.",You can take this perk once
Evolution,"Super Mutant, Level 10","Your AC increases by 1, your DT increases by 1, your hit points increase by a number equal to your level, and your stamina points increase by a number equal to your level. Additionally, choose one damage type. Whenever you take that damage type to your hit points, the total amount is halved (rounded down).",You can take this perk once
"No Gods, No Masters","Super Mutant, Level 5","Super mutants will not target you with attacks unless you are the only hostile target within 60 feet. Additionally, you can 3 AP on your turn and choose one target super mutant within 60 feet of you. You learn that target's total ability scores.",You can take this perk once
Feel No Wounds,"Super Mutant, Level 5","Your DT increases by 1. Additionally, if you end your turn with at least 6 AP; whenever you take damage to your hit points you can spend 6 AP to reduce the damage by half (rounded down).",You can take this perk once
Adamantium Skeleton,Synth,"You are immune to all limb conditions, and whenever you take damage to your hit points from a targeted attack; the damage is halved.",You can take this perk once
Light Step,Synth,You never set off placed explosives or traps.,You can take this perk once
Pump the Coolant,"Synth, Level 5","You can spend 6 action points on your turn to heal a number of stamina points equal to double your healing rate. Once you use this ability, you cannot use it again until you rest for at least 8 hours.",You can take this perk once
Deadeye,,"Whenever you roll attack or damage with a ranged weapon, add 2 to the result. Additionally, whenever you make a targeted attack roll to the head with a ranged weapon, add an additional 2 to the result.You can take this perk up to a maximum of three times.",You can take this perk up to a maximum of three times
Cowboy,,"Whenever you spend AP to draw a lever action rifle, cowboy repeater, or revolver, the AP cost is reduced to 1. Additionally, if you attack and hit a surprised creature with a lever action rifle, cowboy repeater, or revolver; the attack critically hits.",You can take this perk once
Entomologist,,"You know the anatomy of various instincts. Whenever you roll damage from an attack roll against the hit points of a creature with the insect creature type, their DT is not subtracted from your damage total. (Insects include Ants, Bloatflies, Cazador, Radscorpion, etc.)",You can take this perk once
